ID,CategoryID,Title,Authors,ISBN,URL
"16129","12","Поиск источника","Джулия Кэмерон","","http://www.mann-ivanov-ferber.ru/books/poisk-istochnika/"
"17698","14","KUMON. Давай вырезать! Забавные животные","","","http://www.mann-ivanov-ferber.ru/books/kumon-davaj-vyirezat-zabavnyie-zhivotnyie/"
"17496","15","Женщины, которые изменили мир","Наталья Оленцова","","http://www.mann-ivanov-ferber.ru/books/zhenshhinyi-kotoryie-izmenili-mir/"
"15458","11","Работа твоей мечты","Барбара Шер","","http://www.mann-ivanov-ferber.ru/books/rabota-tvoej-mechty/"
"17697","14","Смотри!","Ксавье Дэнё","","http://www.mann-ivanov-ferber.ru/books/smotri/"
"16457","11","Ультрамышление","Тревис Мейси, Джон Хэнк","","http://www.mann-ivanov-ferber.ru/books/ultra-koncentraciya/"
"17329","12","Острова","Анита Грабось","","http://www.mann-ivanov-ferber.ru/books/ostrova/"
"17595","14","В очередь! Транспорт","Томоко Омура","","http://www.mann-ivanov-ferber.ru/books/v-ochered-transport/"
"16763","15","Таинственные страницы","Иван Ефишов","","http://www.mann-ivanov-ferber.ru/books/tainstvennye-stranicy/"
"16996","15","Педагогическая поэма","Антон Макаренко","","http://www.mann-ivanov-ferber.ru/books/pedagogicheskaya-poema/"
"17634","14","Дерево желаний","Кио Маклиар, Крис Тёрнхам","","http://www.mann-ivanov-ferber.ru/books/derevo-zhelanij/"
"17485","14","Как все устроено сегодня","Дэвид Маколи, Нил Ардли","","http://www.mann-ivanov-ferber.ru/books/kak-vse-ustroeno-segodnya/"
"17626","14","Мамазавр","Стивен Ломп","","http://www.mann-ivanov-ferber.ru/books/mamazavr/"
"16817","12","От листка к лепестку","Ребекка Тусс и Патрик Фарелл","","http://www.mann-ivanov-ferber.ru/books/ot-listka-k-lepestku/"
"17636","14","Однажды в сказке","Анна Лаваль","","http://www.mann-ivanov-ferber.ru/books/odnazhdy-v-skazke/"
"17351","14","Живая природа. В горах","Каролин Пеллиссье, Эммануэль Чукриэль, Виржини Аладжиди","","http://www.mann-ivanov-ferber.ru/books/zhivaya-priroda-v-gorax/"
"16934","12","Снежинка. Ракушка. Звезда","Алекс Беллос, Эдмунд Харрис","","http://www.mann-ivanov-ferber.ru/books/cnezhinka-rakushka-zvezda/"
"17350","14","Живая природа. За городом","Каролин Пеллиссье, Эммануэль Чукриэль, Виржини Аладжиди","","http://www.mann-ivanov-ferber.ru/books/zhivaya-priroda-za-gorodom/"
"17203","12","Жизнь как конструктор","Айше Берсел","","http://www.mann-ivanov-ferber.ru/books/zhizn-kak-konstruktor/"
"17547","12","Творческий приступ","Яна Франк","","http://www.mann-ivanov-ferber.ru/books/tvorcheskij-pristup/"
"17601","5","Блокнот для записей МИФа (бирюзовый)","","","http://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mifa-zelenyij/"
"17041","11","Гормоны счастья","Лоретта Грациано Бройнинг","","http://www.mann-ivanov-ferber.ru/books/gormony-schastya/"
"17624","14","Искусство. От кроманьонца до тебя","Стефани Ледю, Тибо Рассат, Стефан Фраттини","","http://www.mann-ivanov-ferber.ru/books/iskusstvo-ot-kromanoncza-do-tebya/"
"17623","14","Транспорт. От телеги до ракеты","Стефани Ледю, Стефан Фраттини, Тибо Рассат","","http://www.mann-ivanov-ferber.ru/books/transport-ot-telegi-do-rakety/"
"17600","14","Папа онлайн","Филипп де Кемметер","","http://www.mann-ivanov-ferber.ru/books/papa-online/"
"17205","9","У них так принято","Росс Маккаммон","","http://www.mann-ivanov-ferber.ru/books/u-nih-tak-prinyato/"
"16145","15","Думай как инженер","Гурупрасад Мадхаван","","http://www.mann-ivanov-ferber.ru/books/dumaj-kak-inzhener/"
"17597","14","Облака","Линнея Крилен","","http://www.mann-ivanov-ferber.ru/books/oblaka/"
"17594","14","В очередь!","Томоко Омура","","http://www.mann-ivanov-ferber.ru/books/v-ochered-zhivotnyie/"
"17592","14","Кто прячется в море?","Айна Бестард","","http://www.mann-ivanov-ferber.ru/books/kto-pryachetsya-v-more/"
"17478","14","Свобода учиться","Питер Грей","","http://www.mann-ivanov-ferber.ru/books/svoboda-uchitsya/"
"15539","13","Ультра","Рич Ролл","","http://www.mann-ivanov-ferber.ru/books/ultra/"
"17556","14","Потрясающее шоу кролика-иллюзиониста","Патрисия Гейс","","http://www.mann-ivanov-ferber.ru/books/potryasayushhee-shou-krolika-illyuzionista/"
"16461","15","В активном поиске","Азиз Ансари, Эрик Клиненберг","","http://www.mann-ivanov-ferber.ru/books/v-aktivnom-poiske/"
"17039","15","13.8. В поисках истинного возраста Вселенной и теории всего","Джон Гриббин","","http://www.mann-ivanov-ferber.ru/books/138-v-poiskah-istinnogo-vozrasta-vselennoj-i-teorii-vsego/"
"17271","12","Скетчи!","Франс Белльвиль-Ван Стоун","","http://www.mann-ivanov-ferber.ru/books/sketchi/"
"17132","10","iМаркетинг","Виталий Мышляев","","http://www.mann-ivanov-ferber.ru/books/imarketing/"
"17177","14","Мик ищет друга","Марьет Хаубертс, Айрис Дэппе","","http://www.mann-ivanov-ferber.ru/books/mik-ishet-druga/"
"17491","14","Зато сам!","Татьяна Руссита","","http://www.mann-ivanov-ferber.ru/books/zato-sam/"
"17492","14","Дом для лис","Татьяна Руссита","","http://www.mann-ivanov-ferber.ru/books/dom-dlya-lis/"
"17196","12","Кради как художник. Творческий дневник","Остин  Клеон","","http://www.mann-ivanov-ferber.ru/books/kradi-kak-hudozhnik-tvorcheskij-dnevnik/"
"17493","14","Игрушки из бумаги","Анхельс Наварро","","http://www.mann-ivanov-ferber.ru/books/igrushki-iz-bumagi/"
"17482","14","Мои друзья","Неле Пальмтаг","","http://www.mann-ivanov-ferber.ru/books/moi-druzya/"
"17466","14","Невозможный блокнот для фантазёров и художников","Юлия Змеева","","http://www.mann-ivanov-ferber.ru/books/nevozmozhnyij-bloknot-dlya-fantazyorov-i-hudozhnikov/"
"17391","14","Весёлое путешествие","Александра Балашова","","http://www.mann-ivanov-ferber.ru/books/vesyoloe-puteshestvie/"
"17188","12","Книга гениальных идей","Братья Маклеод","","http://www.mann-ivanov-ferber.ru/books/kniga-genialnyh-idej/"
"17197","12","Как понять акварель","Том Хоффманн","","http://www.mann-ivanov-ferber.ru/books/kak-ponyat-akvarel/"
"16936","15","Математика для взрослых","Кьяртан Поскит","","http://www.mann-ivanov-ferber.ru/books/matematika-dlya-vzroslyh/"
"17358","14","Отпечаток, точка, штрих","","","http://www.mann-ivanov-ferber.ru/books/otpechatok-tochka-shtrix/"
"16994","11","Укрощение амигдалы","Джон Арден","","http://www.mann-ivanov-ferber.ru/books/ukroshenie-amigdaly/"
"17352","5","Блокнот для записей МИФа","","","http://www.mann-ivanov-ferber.ru/books/bloknot-dlya-zapisej-mif/"
"17184","14","Волшебные цветы. Мой гербарий","Стефани Циск, Ларс Баус","","http://www.mann-ivanov-ferber.ru/books/volshebnye-cvety-moj-gerbarij/"
"17360","14","Мам, дай фартук!","Катерина Дронова, Мария Ларина","","http://www.mann-ivanov-ferber.ru/books/mam-daj-fartuk/"
"16687","15","Как хочет женщина","Эмили Нагоски","","http://www.mann-ivanov-ferber.ru/books/kak-hochet-zhenshina/"
"17281","14","Следуй за линией. Вокруг света","Лора Люнгквист","","http://www.mann-ivanov-ferber.ru/books/sleduj-za-liniej-vokrug-sveta/"
"16810","12","В поисках кадра","Брайан Петерсон","","http://www.mann-ivanov-ferber.ru/books/v-poiskah-kadra/"
"16814","12","НАЧНИ СЕЙЧАС!","Кейт Неккель","","http://www.mann-ivanov-ferber.ru/books/nachni-sejchas/"
"16910","13","Китайское исследование: простые и быстрые рецепты","Дэл Шруф, Лиэнн Кэмпбелл","","http://www.mann-ivanov-ferber.ru/books/kitajskoe-issledovanie-prostye-i-bystrye-recepty/"
